,blocktime,slot,signature,signer,token_in_name,token_in_amt,token_out_name,token_out_amt,action,auth_acc,obligation_acc,market
0,1633408618,99823904,3dRLhNbnAh3wTEyVwcBhzVh2DXWdWSaXWFnHjQjxsNodAucvRy126F6n4oGyUvdmuxBdgLoxs8uJHx5jbi2NZadB,JD4FNyoSa2rALxALvpbHnfGYB7KDqcdNMgTpF1Tw9f9u,,,,,InitObligation,,8zJUyjziieoUkYqk4EMPmvJJxgtNvDUYq3vFbAJdcCZ9,main
1,1633408618,99823904,3dRLhNbnAh3wTEyVwcBhzVh2DXWdWSaXWFnHjQjxsNodAucvRy126F6n4oGyUvdmuxBdgLoxs8uJHx5jbi2NZadB,JD4FNyoSa2rALxALvpbHnfGYB7KDqcdNMgTpF1Tw9f9u,,,USDC,-100.0,DepositReserveLiquidityAndObligationCollateral,JD4FNyoSa2rALxALvpbHnfGYB7KDqcdNMgTpF1Tw9f9u,8zJUyjziieoUkYqk4EMPmvJJxgtNvDUYq3vFbAJdcCZ9,main
2,1633452651,99903991,XUwGUZimYadHq9Z1hPePnvHrbzBDkD2ThhaNrN12fpjeAhHr3ZcWsHsPHechNrv2v1QjXaffgKHqwzwwrt68Uy5,JD4FNyoSa2rALxALvpbHnfGYB7KDqcdNMgTpF1Tw9f9u,USDC,100.007339,,,WithdrawObligationCollateralAndRedeemReserveCollateral,JD4FNyoSa2rALxALvpbHnfGYB7KDqcdNMgTpF1Tw9f9u,8zJUyjziieoUkYqk4EMPmvJJxgtNvDUYq3vFbAJdcCZ9,main
3,1641365599,114877973,2kFyjdNt135GixnDXf9nMgTE9w1DtEMyj1z3eSGtc12pAFmXKtG8ouZTtjBqfd8mJ7HrfEiZEvsBGyh2mhJ5pS2N,JD4FNyoSa2rALxALvpbHnfGYB7KDqcdNMgTpF1Tw9f9u,,,stSOL,-13.723378643,DepositReserveLiquidityAndObligationCollateral,JD4FNyoSa2rALxALvpbHnfGYB7KDqcdNMgTpF1Tw9f9u,8zJUyjziieoUkYqk4EMPmvJJxgtNvDUYq3vFbAJdcCZ9,main
4,1641365683,114878123,2DhKb92Cp8iftkE3PC229mEq35FcL8V71wGLqDnN21guqD6gx5PrchBrWpdGrntZEA7ELXC1pRoaqCcBE65TUg2x,JD4FNyoSa2rALxALvpbHnfGYB7KDqcdNMgTpF1Tw9f9u,stSOL,10.0,,,BorrowObligationLiquidity,,8zJUyjziieoUkYqk4EMPmvJJxgtNvDUYq3vFbAJdcCZ9,main
5,1641365708,114878171,2MwF4baVhxd8p3iHg1wJ7aC2oEhEmVmseo4sLSWY7i1w1ioZ9YeoUjxoC3koSzwAXzVafUCh6XW49D6FCfrFXdHm,JD4FNyoSa2rALxALvpbHnfGYB7KDqcdNMgTpF1Tw9f9u,,,stSOL,-10.0,DepositReserveLiquidityAndObligationCollateral,JD4FNyoSa2rALxALvpbHnfGYB7KDqcdNMgTpF1Tw9f9u,8zJUyjziieoUkYqk4EMPmvJJxgtNvDUYq3vFbAJdcCZ9,main
6,1641365742,114878238,2ewKWzrD1vPMffNwcsqefQ7xXwfaVZAVUYfP7Ef2j12jyK11zgvWH6GHKkMpLozneJbXwpUwTr5ZE5XCFExxvGRV,JD4FNyoSa2rALxALvpbHnfGYB7KDqcdNMgTpF1Tw9f9u,stSOL,7.0,,,BorrowObligationLiquidity,,8zJUyjziieoUkYqk4EMPmvJJxgtNvDUYq3vFbAJdcCZ9,main
7,1641365767,114878284,53aKwkvkxdEtrW52FLutYe6BCcZAs4xjtYt6faUu7jyCratPXHoMmoNu9YSDT4WwfCiC18fsy7Jm2cDuAvfqq8Tf,JD4FNyoSa2rALxALvpbHnfGYB7KDqcdNMgTpF1Tw9f9u,,,stSOL,-7.0,DepositReserveLiquidityAndObligationCollateral,JD4FNyoSa2rALxALvpbHnfGYB7KDqcdNMgTpF1Tw9f9u,8zJUyjziieoUkYqk4EMPmvJJxgtNvDUYq3vFbAJdcCZ9,main
8,1641365805,114878355,5PCRfn3qMPTcu7okQCyRAiNhFiz8Y3KnkiozxCZagvfTvLgPtdiKe9p1WJybGj8BHWY5shK7UNCU8YZRpeZTiKfR,JD4FNyoSa2rALxALvpbHnfGYB7KDqcdNMgTpF1Tw9f9u,stSOL,6.0,,,BorrowObligationLiquidity,,8zJUyjziieoUkYqk4EMPmvJJxgtNvDUYq3vFbAJdcCZ9,main
9,1641365826,114878394,38BuWJbofGJvWJs9VQurAX42ujJgMii6JBJwdsHnKUcittjTyBYmT5xXzaxDmmtMPuTSZGku8G6zYxiZDsieAXgU,JD4FNyoSa2rALxALvpbHnfGYB7KDqcdNMgTpF1Tw9f9u,,,stSOL,-6.0,DepositReserveLiquidityAndObligationCollateral,JD4FNyoSa2rALxALvpbHnfGYB7KDqcdNMgTpF1Tw9f9u,8zJUyjziieoUkYqk4EMPmvJJxgtNvDUYq3vFbAJdcCZ9,main
10,1641365887,114878516,24RZTnhv2HocQhu87twRmSDTPirc2wfhbVGqVYo66MhYJF8WJRqTavHKPj1pz6jGqyf3iUJZcK4mr7hDA1RVyWqR,JD4FNyoSa2rALxALvpbHnfGYB7KDqcdNMgTpF1Tw9f9u,stSOL,4.0,,,BorrowObligationLiquidity,,8zJUyjziieoUkYqk4EMPmvJJxgtNvDUYq3vFbAJdcCZ9,main
11,1641365913,114878568,3uRYTeBXmUnakdnL6AU1q8hBPgSRRK9UUjGzeaKjRUfQkVBB1M4V5oe9rqwaecdeZpGp1ZwXxK7RmRj33Un7MJQ7,JD4FNyoSa2rALxALvpbHnfGYB7KDqcdNMgTpF1Tw9f9u,,,stSOL,-4.0,DepositReserveLiquidityAndObligationCollateral,JD4FNyoSa2rALxALvpbHnfGYB7KDqcdNMgTpF1Tw9f9u,8zJUyjziieoUkYqk4EMPmvJJxgtNvDUYq3vFbAJdcCZ9,main
12,1641365998,114878740,25s1pNBmq2HMgZNapVccd36kDFFspaui1Xz1WwehkXaeBoQx91v2NHUtbAMbp2dLuAsAa7DeniNtrMLfyzc19ySP,JD4FNyoSa2rALxALvpbHnfGYB7KDqcdNMgTpF1Tw9f9u,stSOL,3.0,,,BorrowObligationLiquidity,,8zJUyjziieoUkYqk4EMPmvJJxgtNvDUYq3vFbAJdcCZ9,main
13,1641366050,114878844,g7NctySPauNeg8vrhYyi1w5PxcsEGeNcdWkMKCS7jY6jguG6MmYSZ1PNqNowwLngXfu5Gbf1x8gehR8KnVj1xTD,JD4FNyoSa2rALxALvpbHnfGYB7KDqcdNMgTpF1Tw9f9u,,,stSOL,-3.0,DepositReserveLiquidityAndObligationCollateral,JD4FNyoSa2rALxALvpbHnfGYB7KDqcdNMgTpF1Tw9f9u,8zJUyjziieoUkYqk4EMPmvJJxgtNvDUYq3vFbAJdcCZ9,main
14,1641366092,114878922,34Ybxp6JogHKHgJfPKXy1hTRBwqDsvYDHgaHMAToAUw5eUDxJwypqrpJURCDec29VpHQ8RNm6TGBBYwBUX4ZrKut,JD4FNyoSa2rALxALvpbHnfGYB7KDqcdNMgTpF1Tw9f9u,stSOL,2.0,,,BorrowObligationLiquidity,,8zJUyjziieoUkYqk4EMPmvJJxgtNvDUYq3vFbAJdcCZ9,main
15,1641366120,114878982,3jHXzrbriTir1nSAkbMX8157XSzzMh5i4S4PZqnk2MAxcmv5vzLrvEDQzfBcX5NvbeEoMD54r6Zs7L8W4EfM2BfM,JD4FNyoSa2rALxALvpbHnfGYB7KDqcdNMgTpF1Tw9f9u,,,stSOL,-2.0,DepositReserveLiquidityAndObligationCollateral,JD4FNyoSa2rALxALvpbHnfGYB7KDqcdNMgTpF1Tw9f9u,8zJUyjziieoUkYqk4EMPmvJJxgtNvDUYq3vFbAJdcCZ9,main
16,1641366169,114879080,1jQ9m8SbK41tuozXf5skPdexErq7hrim8euyqwwrqXmwGgMmQ4t9k1w8an9N2NAxocdzDnZsGtZXVSPpBrvJcsn,JD4FNyoSa2rALxALvpbHnfGYB7KDqcdNMgTpF1Tw9f9u,stSOL,2.0,,,BorrowObligationLiquidity,,8zJUyjziieoUkYqk4EMPmvJJxgtNvDUYq3vFbAJdcCZ9,main
17,1641366210,114879162,2YAQ6wAty7xgEg3MBVrmkd9u3rDucBs4gS3xZyw5FgX7bmTn5dTN8zoynq8SCZdyfQm2cKZosYn2CsxtkyXFT3ep,JD4FNyoSa2rALxALvpbHnfGYB7KDqcdNMgTpF1Tw9f9u,,,stSOL,-2.0,DepositReserveLiquidityAndObligationCollateral,JD4FNyoSa2rALxALvpbHnfGYB7KDqcdNMgTpF1Tw9f9u,8zJUyjziieoUkYqk4EMPmvJJxgtNvDUYq3vFbAJdcCZ9,main
18,1641366299,114879339,3nTDreUnD1AJ5anXgvGRdKhk7Mu1NDnXMTM1tP5vNTSycm3QTgBeckmtCMZVgqpeFwtP2udZ4Su22up7fQAxcv2J,JD4FNyoSa2rALxALvpbHnfGYB7KDqcdNMgTpF1Tw9f9u,stSOL,1.0,,,BorrowObligationLiquidity,,8zJUyjziieoUkYqk4EMPmvJJxgtNvDUYq3vFbAJdcCZ9,main
