blocktime,slot,signature,signer,token_in_name,token_in_amt,token_out_name,token_out_amt,action,auth_acc,obligation_acc,market
1642169246,116222072,g6RYY5hN2dZCvQqSZQ2A9H5htANBtfcZZqaK3SprG2FWVRkxN9xAZddNybtPVhSUiSHuu5DazsmFqm5yG5JVJqM,EAs2nCNt34RB5PVsLVtoLioWiHRJUDvDNXp4rCjgwNrJ,USDC,3585.5453829999997,,,BorrowObligationLiquidity,,6At5JNTkt7NCwjPzLvsedZZba3hYRJcko2DmQe3RraMC,main
1642182870,116243939,WrH4J5TH4EqxiLahjR85GBk9PjoCSsGfb8FLpP57mnomzTLZzszZJJ8Vn4JYFNUs9gXFeudAEZjMuCdeXv6kpYz,JD4FNyoSa2rALxALvpbHnfGYB7KDqcdNMgTpF1Tw9f9u,,,stSOL,-1.0,RepayObligationLiquidity,JD4FNyoSa2rALxALvpbHnfGYB7KDqcdNMgTpF1Tw9f9u,8zJUyjziieoUkYqk4EMPmvJJxgtNvDUYq3vFbAJdcCZ9,main
1642185923,116249013,N3c3EqEYLWJ7ab5LmAZG74uSZw2efKyAc3XWWrzsB89JRQiDsFntg4EtybPZvEr7hURUFRCtgezshji1wMJx3zf,DNiFqn1UqSzRVtvAbxjmiS7MB4xY7wDubzFFoz8r9jD6,USDC,5379.5330539999995,,,WithdrawObligationCollateralAndRedeemReserveCollateral,DNiFqn1UqSzRVtvAbxjmiS7MB4xY7wDubzFFoz8r9jD6,65q7xLPpxixpQKnrUpMdkV6Kbca3A6GaEphoV2Lo3rCZ,main
1642167882,116219771,4KB7FPiDqMWDvuNeu2GEVJTysQk38jymCUjZa3bvtYaff9PmG2Ev7LACLnKnRxMAe1GUNxLVEhe3NHRJK1gYV45A,3DkGsCMMM5nCXB8MjMHiKYLgHwphq7niLNew3skNvWiy,,,stSOL,-0.36786319300000003,DepositReserveLiquidityAndObligationCollateral,3DkGsCMMM5nCXB8MjMHiKYLgHwphq7niLNew3skNvWiy,FUPYZkyuLhyrn7tFpijhoERwHPKGBq7mrgFEBVb6DBr1,main
1642194909,116263931,25D8QthrdTba62rRRQqNmNqnQjZ7W5eFP5CCgMuntqj1RwLytczu79VWPLG9FNPNRuRVU8JdbkvyPmEH5MSDGUsv,3ZNJ9NsPGtBFd4MSLwrw1jnWz7rkMHUtGir5PC65jPNs,UST,1000.0,,,BorrowObligationLiquidity,,5sWPYjVBMeLFHeSfDzqmSi8bzYZVx6GEqCha8nJvHnji,main
1642175675,116232470,4v6VP1jhS3PKDxXv1NgLgZwAxPj2AH9arznAjAGuZL8YiTAddxYTbjyzMhZQBaunep7J7XwEJj9bBiw9mMQS1LsN,FmLZ6oUMVhUsZcSmLfdK4xDjujo2VrMDr4n8LFhQbarF,,,SOL,-2.1500000000000004,DepositReserveLiquidityAndObligationCollateral,FmLZ6oUMVhUsZcSmLfdK4xDjujo2VrMDr4n8LFhQbarF,7pVj1Nos6CpuRzuRUfJ1L2xaShfzDuD5UaqhirQGdidK,main
1642177674,116235444,2ykVbvnYKiaRJ28pnbtXqUiNpRTc8vadu4UbzEMFanQbAUCJ328QFPTygcqAhyrgp6BQj6UzS9UfTVpavWNXQHBm,Hr6E5qcZTyPm4jwunByz7GfpntqBtxjrQCoRAbAJGinQ,,,,,InitObligation,,74UTgdjH8UvAyNv59pHYVYnvY1uE8VSN6VMASw6zZT1,main
1642177674,116235444,2ykVbvnYKiaRJ28pnbtXqUiNpRTc8vadu4UbzEMFanQbAUCJ328QFPTygcqAhyrgp6BQj6UzS9UfTVpavWNXQHBm,Hr6E5qcZTyPm4jwunByz7GfpntqBtxjrQCoRAbAJGinQ,,,RAY,-5.2919279999999995,DepositReserveLiquidityAndObligationCollateral,Hr6E5qcZTyPm4jwunByz7GfpntqBtxjrQCoRAbAJGinQ,74UTgdjH8UvAyNv59pHYVYnvY1uE8VSN6VMASw6zZT1,main
1642184316,116246207,HMt7VMpXKo7BbBbGFDqP41M4xzxqyZpr3UtLAWFWnsvRptSHfpU4S4mk7qexMjCGseLVNHJfFESJFP2yvxV8Cgi,JD4FNyoSa2rALxALvpbHnfGYB7KDqcdNMgTpF1Tw9f9u,stSOL,4.500000154,,,WithdrawObligationCollateralAndRedeemReserveCollateral,JD4FNyoSa2rALxALvpbHnfGYB7KDqcdNMgTpF1Tw9f9u,8zJUyjziieoUkYqk4EMPmvJJxgtNvDUYq3vFbAJdcCZ9,main
1642197127,116267651,5XZVpdBh4ZDngxmtW4KnfwSRNnf25JjkMKeHGTwKoNxn2sAXgFCKWxha9G3f4vTetvbqKFsVdM1kE6AkyMsyNs5N,2ZME5f2fgapRFZXpfygK5baaXtS5qtTeYMSE9p1JLe3w,,,USDT,-13.539112999999999,RepayObligationLiquidity,2ZME5f2fgapRFZXpfygK5baaXtS5qtTeYMSE9p1JLe3w,3pgQT7CLeUFoyoUbouGK54TRxPWpwBQoZKEbMJiBNCiH,main
