blocktime,slot,signature,signer,token_in_name,token_in_amt,token_out_name,token_out_amt,collat_change_token_name,collat_change_amt,action,auth_acc,obligation_acc,market
1636393932,105888004,5wz1A3TiiyxN7emNmA2qoHv8ZjbryANWpoRAGJ5bPvdyrJTrkN3mK72NDSzYkv1FeAbmbZVs2oNtpy1hoNv6qA3V,9KK19KWbsZVVHZCV6io3upenFrj778pZnhobahWimbj1,,,,,,,InitObligation,,HjPNpiA8xXHxy3gGLSacGT765SWzupkRCVfkBNG29SLd,main
1636393932,105888004,5wz1A3TiiyxN7emNmA2qoHv8ZjbryANWpoRAGJ5bPvdyrJTrkN3mK72NDSzYkv1FeAbmbZVs2oNtpy1hoNv6qA3V,9KK19KWbsZVVHZCV6io3upenFrj778pZnhobahWimbj1,,,SOL,-350.63783289,cSOL,349.86970756100004,DepositReserveLiquidityAndObligationCollateral,9KK19KWbsZVVHZCV6io3upenFrj778pZnhobahWimbj1,HjPNpiA8xXHxy3gGLSacGT765SWzupkRCVfkBNG29SLd,main
1636398110,105895868,EmzGErpXgNpC1rsLNWwdbLPLavFPo5XCxA5fmFRFCYBHtUajRE2UMQ4aTJe6qhw9Ferax1813nsLLNpXmK8aGEh,9KK19KWbsZVVHZCV6io3upenFrj778pZnhobahWimbj1,BTC,0.5499999999999999,,,,,BorrowObligationLiquidity,,HjPNpiA8xXHxy3gGLSacGT765SWzupkRCVfkBNG29SLd,main
1636398422,105896471,3HDArXZ6nV9YyM7TjgGeWSvDmD9qNTwCUFg6XaVdCE8HJFcBGBqcCM1XHxcC5xXodJgdAovXABHC6ypdNCPH4Kza,9KK19KWbsZVVHZCV6io3upenFrj778pZnhobahWimbj1,soETH,3.0,,,,,BorrowObligationLiquidity,,HjPNpiA8xXHxy3gGLSacGT765SWzupkRCVfkBNG29SLd,main
1636400355,105900144,32nzGG3Xzu9SoPqfG3KcBenHQFCdcWfyzXW4b3K7wf14AjEBHvKf7eWUpFu8UEokTGLsrhUqoQHaswpa3nZxBWb8,9KK19KWbsZVVHZCV6io3upenFrj778pZnhobahWimbj1,,,BTC,-0.5499999999999999,cBTC,0.548356,DepositReserveLiquidityAndObligationCollateral,9KK19KWbsZVVHZCV6io3upenFrj778pZnhobahWimbj1,HjPNpiA8xXHxy3gGLSacGT765SWzupkRCVfkBNG29SLd,main
1636400437,105900295,2UK6cUNXZ7oQQtWnsoqAkXeCfETrPZ2MCagpUhRQN75joDszpnxVnxH7QjpUKszNSnkPm8jHzzoGko2eThPgy2gP,9KK19KWbsZVVHZCV6io3upenFrj778pZnhobahWimbj1,,,soETH,-3.0,csoETH,2.984896,DepositReserveLiquidityAndObligationCollateral,9KK19KWbsZVVHZCV6io3upenFrj778pZnhobahWimbj1,HjPNpiA8xXHxy3gGLSacGT765SWzupkRCVfkBNG29SLd,main
1636400536,105900484,5ZsTS5SNVtE6yABWBYMR9AZNZEcBntDdugQw7J7Wxm9YhwSQ2NqkBAcqWVgkCBaP2zvTKHbWN8j39GRaTswn4m2T,9KK19KWbsZVVHZCV6io3upenFrj778pZnhobahWimbj1,BTC,0.45999999999999996,,,,,BorrowObligationLiquidity,,HjPNpiA8xXHxy3gGLSacGT765SWzupkRCVfkBNG29SLd,main
1636400560,105900526,5VvN8HwVH22Uy3twDEvR7UiUah7PL2vq4gxjLQ7DLmDJjthzYBGpz1F6MYp1ftKthD7oaZEvBK4HdzKomzHTd5Ns,9KK19KWbsZVVHZCV6io3upenFrj778pZnhobahWimbj1,,,BTC,-0.45999999999999996,cBTC,0.458625,DepositReserveLiquidityAndObligationCollateral,9KK19KWbsZVVHZCV6io3upenFrj778pZnhobahWimbj1,HjPNpiA8xXHxy3gGLSacGT765SWzupkRCVfkBNG29SLd,main
1636400737,105900837,3ML7F3JvkXs5yCEK4oiaFvnJbcNDwpseKGYpLsqHjChiw8WgeuJSguoSir1zyHmn7ua5HwU96DWcxfmJhXAewVQ1,9KK19KWbsZVVHZCV6io3upenFrj778pZnhobahWimbj1,soETH,4.0,,,,,BorrowObligationLiquidity,,HjPNpiA8xXHxy3gGLSacGT765SWzupkRCVfkBNG29SLd,main
1636400782,105900916,5inbq23AbesBdDKxb6HnkN8asUYE596WfMoTNjAX9k2RWGs1di3dKHqXqcB3PqWmuxGPzAFMiWG6Hqi7YVHf7beE,9KK19KWbsZVVHZCV6io3upenFrj778pZnhobahWimbj1,,,soETH,-4.0,csoETH,3.97986,DepositReserveLiquidityAndObligationCollateral,9KK19KWbsZVVHZCV6io3upenFrj778pZnhobahWimbj1,HjPNpiA8xXHxy3gGLSacGT765SWzupkRCVfkBNG29SLd,main
